Symbol,Name,Country,IPO Year,Volume,Sector,Industry
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,,1693971,Finance,Commercial Banks
BBW,Build-A-Bear Workshop Inc. Common Stock,United States,2004,246480,Consumer Services,Recreational Products/Toys
BBWI,Bath & Body Works Inc.,United States,,3447726,Miscellaneous,Diversified Commercial Services
BBY,Best Buy Co. Inc. Common Stock,United States,,5985734,Consumer Services,Consumer Electronics/Video Chains
BC,Brunswick Corporation Common Stock,United States,,243334,Consumer Non-Durables,Recreational Products/Toys
BC^A,Brunswick Corporation 6.500% Senior Notes due 2048,United States,,5170,,
BC^B,Brunswick Corporation 6.625% Senior Notes due 2049,United States,,2916,,
BC^C,Brunswick Corporation 6.375% Notes due 2049,United States,,11029,,
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,United States,2020,240212,Finance,Finance/Investors Services
BCC,Boise Cascade L.L.C. Common Stock,United States,2013,217553,,
BCE,BCE Inc. Common Stock,Canada,,682417,Public Utilities,Telecommunications Equipment
BCH,Banco De Chile Banco De Chile ADS,Chile,,109769,Finance,Commercial Banks
BCO,Brinks Company (The) Common Stock,United States,,331919,Miscellaneous,Diversified Manufacture
BCS,Barclays PLC Common Stock,United Kingdom,,1977753,Finance,Commercial Banks
BCSF,Bain Capital Specialty Finance Inc. Common Stock,United States,2018,49449,Finance,Finance/Investors Services
BCX,BlackRock Resources Common Shares of Beneficial Interest,United States,2011,162126,Finance,Finance/Investors Services
BDC,Belden Inc Common Stock,United States,,601904,Basic Industries,Telecommunications Equipment
BDJ,Blackrock Enhanced Equity Dividend Trust,United States,2005,252773,Finance,Finance Companies
BDN,Brandywine Realty Trust Common Stock,United States,,1337317,Consumer Services,Real Estate Investment Trusts
BDX,Becton Dickinson and Company Common Stock,United States,,911617,Health Care,Medical/Dental Instruments
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B,United States,,14854,Health Care,Medical/Dental Instruments
BE,Bloom Energy Corporation Class A Common Stock,,2018,1968363,Consumer Durables,Electrical Products
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share,China,2017,45124,Miscellaneous,Other Consumer Services
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,2020,7499116,Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,United States,,1296208,Finance,Investment Managers
BEP,Brookfield Renewable Partners L.P. ,,,255340,Public Utilities,Electric Utilities: Central
BEP^A,Brookfield Renewable Partners L.P. 5.25% Class A Preferred Limited Partnership Units Series 17,,,8471,,
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,,2020,846622,,
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,,,9679,,
BERY,Berry Global Group Inc. Common Stock,United States,2012,442697,Consumer Non-Durables,Plastic Products
BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share,Cayman Islands,2017,1579879,,
BF/A,Brown Forman Corporation,United States,,49341,,
BF/B,Brown Forman Corporation,United States,,783322,,
BFAM,Bright Horizons Family Solutions Inc. Common Stock,United States,2013,355302,Miscellaneous,Other Consumer Services
BFK,BlackRock Municipal Income Trust,United States,,55074,Finance,Finance Companies
BFLY,Butterfly Network Inc. Class A Common Stock,,2020,3457882,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BFS,Saul Centers Inc. Common Stock,United States,1993,21867,Consumer Services,Real Estate Investment Trusts
BFS^D,Saul Centers Inc. Depositary Shares each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock,United States,,7274,,
BFS^E,Saul Centers Inc. Depositary shares each representing a 1/100th fractional interest in a share of 6.000% Series E Cumulative Redeemable Preferred Stock,United States,,7232,,
